AIRPORT_ID,DISPLAY_AIRPORT_NAME,DISPLAY_AIRPORT_CITY_NAME_FULL,AIRPORT_WAC_SEQ_ID2,AIRPORT_COUNTRY_NAME,AIRPORT_COUNTRY_CODE_ISO,AIRPORT_STATE_NAME,LAT_DEGREES,LAT_HEMISPHERE,LAT_MINUTES,LAT_SECONDS,LATITUDE,LON_DEGREES,LON_HEMISPHERE,LON_MINUTES,LON_SECONDS,LONGITUDE,AIRPORT_START_DATE,AIRPORT_THRU_DATE,AIRPORT_IS_CLOSED,AIRPORT_IS_LATEST
14713,Schenectady County,"Schenectady, NY",2201,United States,US,New York,42,N,51,9,42.85250000,73,W,55,48,-73.93000000,6/1/1976 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
14713,Schenectady County,"Schenectady, NY",2201,United States,US,New York,42,N,51,10,42.85277778,73,W,55,46,-73.92944444,10/1/2022 12:00:00 AM,6/30/2025 12:00:00 AM,0,0
14714,San Cristobal Airport,"San Cristobal, Venezuela",38801,Venezuela,VE,,7,N,46,0,7.76666667,72,W,14,0,-72.23333333,6/1/1988 12:00:00 AM,,0,1
14715,Smith Cove Airport,"Smith Cove, AK",101,United States,US,Alaska,55,N,27,17,55.45472222,132,W,21,7,-132.35194444,9/1/1989 12:00:00 AM,,0,1
14716,Stockton Metro,"Stockton, CA",9101,United States,US,California,37,N,53,40,37.89444444,121,W,14,19,-121.23861111,10/1/2022 12:00:00 AM,6/30/2025 12:00:00 AM,0,0
14716,Stockton Metro,"Stockton, CA",9101,United States,US,California,37,N,53,41,37.89472222,121,W,14,24,-121.24000000,7/1/2025 12:00:00 AM,,0,1
14716,Stockton Metropolitan,"Stockton, CA",9101,United States,US,California,37,N,53,39,37.89416667,121,W,14,18,-121.23833333,7/1/2011 12:00:00 AM,6/30/2019 12:00:00 AM,0,0
14716,Stockton Metropolitan,"Stockton, CA",9101,United States,US,California,37,N,53,40,37.89444444,121,W,14,19,-121.23861111,7/1/2019 12:00:00 AM,9/30/2022 12:00:00 AM,0,0
14716,Stockton Metropolitan,"Stockton, CA",9101,United States,US,California,37,N,53,40,37.89444444,121,W,14,21,-121.23916667,1/1/1950 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
14717,Arturo Merino Benitez,"Santiago, Chile",32401,Chile,CL,,33,S,23,12,-33.38666667,70,W,47,6,-70.78500000,3/1/1980 12:00:00 AM,1/31/1994 12:00:00 AM,0,0
14717,Arturo Merino Benitez International,"Santiago, Chile",32401,Chile,CL,,33,S,23,12,-33.38666667,70,W,47,6,-70.78500000,2/1/1994 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
14717,Arturo Merino Benitez International,"Santiago, Chile",32401,Chile,CL,,33,S,23,28,-33.39111111,70,W,47,39,-70.79416667,7/1/2019 12:00:00 AM,,0,1
14717,Arturo Merino Benitez International,"Santiago, Chile",32401,Chile,CL,,33,S,23,28,-33.39111111,70,W,47,40,-70.79444444,7/1/2011 12:00:00 AM,6/30/2019 12:00:00 AM,0,0
14717,Pudahuel,"Santiago, Chile",32401,Chile,CL,,33,S,23,8,-33.38555556,70,W,47,2,-70.78388889,1/1/1950 12:00:00 AM,2/29/1980 12:00:00 AM,0,0
14718,Scammon Bay Airport,"Scammon Bay, AK",101,United States,US,Alaska,61,N,50,40,61.84444444,165,W,34,25,-165.57361111,7/1/2011 12:00:00 AM,,0,1
14718,Scammon Bay Airport,"Scammon Bay, AK",101,United States,US,Alaska,61,N,50,47,61.84638889,165,W,35,38,-165.59388889,1/1/1950 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
14719,Saarbrucken Airport,"Saarbrucken, Germany",42902,Germany,DE,,49,N,12,52,49.21444444,7,E,6,34,7.10944444,7/1/2011 12:00:00 AM,7/31/2017 12:00:00 AM,0,0
14719,Saarbrucken Airport,"Saarbrucken, Germany",42902,Germany,DE,,49,N,12,52,49.21444444,7,E,6,34,7.10944444,11/1/2017 12:00:00 AM,11/30/2017 12:00:00 AM,0,0
14719,Saarbrucken Ensheim,"Saarbrucken, Germany",42902,Germany,DE,,49,N,13,0,49.21666667,7,E,7,11,7.11972222,10/1/1990 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
14719,Saarbrucken Ensheim,"Saarbrucken, West Germany",42901,West Germany,DE,,49,N,13,0,49.21666667,7,E,7,11,7.11972222,1/1/1950 12:00:00 AM,9/30/1990 12:00:00 AM,0,0
14719,Saarbruecken,"Saarbrucken, Germany",42902,Germany,DE,,49,N,12,52,49.21444444,7,E,6,34,7.10944444,8/1/2017 12:00:00 AM,10/31/2017 12:00:00 AM,0,0
14719,Saarbruecken,"Saarbrucken, Germany",42902,Germany,DE,,49,N,12,52,49.21444444,7,E,6,34,7.10944444,12/1/2017 12:00:00 AM,4/30/2023 12:00:00 AM,0,0
14719,Saarbruecken,"Saarbrucken, Germany",42902,Germany,DE,,49,N,12,52,49.21444444,7,E,6,36,7.11000000,5/1/2023 12:00:00 AM,,0,1
14720,Shevchenko,"Aktau, Kazakhstan",73801,Kazakhstan,KZ,,43,N,52,0,43.86666667,51,E,6,0,51.10000000,1/1/1992 12:00:00 AM,,0,1
