RANK,AIRPORT_ID,AIRPORT_CODE,AIRPORT_NAME,CITY,DEPARTURES,ARRIVALS,TOTAL_THROUGHPUT
309,14633,RST,Rochester International,"Rochester, MN",32,31,63
310,15295,TOL,Eugene F Kranz Toledo Express,"Toledo, OH",31,31,62
311,14231,PQI,Presque Isle International,"Presque Isle/Houlton, ME",31,31,62
312,14955,SPN,Francisco C. Ada Saipan International,"Saipan, TT",31,31,62
313,11525,EKO,Elko Regional,"Elko, NV",31,31,62
314,13873,OME,Nome Airport,"Nome, AK",30,30,60
315,13970,OTZ,Ralph Wien Memorial,"Kotzebue, AK",30,30,60
316,10754,BRW,Wiley Post/Will Rogers Memorial,"Barrow, AK",30,30,60
317,12265,IAG,Niagara Falls International,"Niagara Falls, NY",29,29,58
318,15008,STC,St. Cloud Regional,"St. Cloud, MN",28,28,56
319,11641,FAY,Fayetteville Regional/Grannis Field,"Fayetteville, NC",28,28,56
320,12898,LBE,Arnold Palmer Regional,"Latrobe, PA",22,22,44
321,12223,HTS,Tri-State/Milton J. Ferguson Field,"Ashland, WV",20,20,40
322,12119,HGR,Hagerstown Regional-Richard A. Henson Field,"Hagerstown, MD",20,20,40
323,13964,OTH,Southwest Oregon Regional,"North Bend/Coos Bay, OR",18,18,36
324,14711,SCE,State College Regional,"State College, PA",16,16,32
325,14952,SPI,Abraham Lincoln Capital,"Springfield, IL",14,14,28
326,14222,PPG,Pago Pago International,"Pago Pago, TT",10,10,20
327,10165,ADK,Adak,"Adak Island, AK",9,9,18
328,11027,CKB,North Central West Virginia,"Clarksburg/Fairmont, WV",9,9,18
329,14905,SMX,Santa Maria Public/Capt. G. Allan Hancock Field,"Santa Maria, CA",9,9,18
